id	fake_rates	real_rates
4373	18	2
4524	14	6
7742	18	2
7938	19	1
11155	20	0
16157	12	8
16692	2	18
40162	1	19
59953	13	7
63907	2	18
71770	18	2
76446	19	1
79522	3	17
80144	3	17
80154	2	18
96522	6	14
101680	2	18
106802	6	14
108433	3	17
112426	2	18
114975	3	17
117443	2	18
133830	4	16
136422	13	7
136822	13	7
143283	17	3
145094	2	18
145503	16	4
145849	5	15
146716	17	3
147309	0	20
148104	19	1
148508	4	16
148571	0	20
149801	0	20
149909	6	14
150101	17	3
157143	3	17
158639	15	5
159597	4	16
161059	3	17
169031	2	18
171113	19	1
173253	4	16
173259	1	19
179907	15	5
185466	1	19
186029	18	2
187688	18	2
188185	20	0
188902	5	15
199391	4	16
199725	1	19
200148	17	3
200402	19	1
201278	15	5
201897	4	16
206672	2	18
269344	16	4
269604	18	2
269948	17	3
270870	18	2
271339	11	9
272395	18	2
272423	13	7
272823	15	5
273338	1	19
274732	16	4
274988	20	0
277778	15	5
278113	19	1
278840	15	5
279180	5	15
279273	9	11
279304	12	8
280126	15	5
281501	18	2
283174	19	1
285635	18	2
286551	19	1
288090	12	8
288174	2	18
289211	9	11
289391	8	12
289918	14	6
292079	20	0
292657	4	16
1117839087690571788	0	20
1117839446391558145	3	17
1117839785379237888	7	13
1117840693588897795	3	17
1117840775990013952	19	1
1117841222645817352	0	20
1117841268502089728	1	19
1117842908588199941	3	17
1117842939940622338	0	20
1117843382775185408	0	20
1117843710476201990	5	15
1117843827132334080	0	20
1117844150160887808	1	19
1117844419259060224	10	10
1117844501496832000	6	14
1117844512473219073	3	17
1117845000103038979	1	19
1117845045791666177	1	19
1117845097247174657	4	16
1117845228659060737	0	20
1117845279967993856	3	17
1117845392526278658	9	11
1117845506917584897	2	18
1117845514379128833	0	20
1117845725780611073	1	19
1117845849856520193	4	16
1117846098905837570	1	19
1117846148398628866	0	20
1117846408063856640	2	18
1117846631712317440	0	20
1117846637622251522	19	1
1117846639316750338	20	0
1117846731008270338	2	18
1117846785249169410	1	19
1117846825258688512	4	16
1117847049221730304	0	20
1117847076845572102	19	1
1117847564789764098	4	16
1117847605835210752	3	17
1117847645907587072	19	1
1117847680959438848	0	20
1117847720985686016	1	19
1117847955556294657	1	19
1117848029824839680	0	20
1117848250994659328	1	19
1117848343852408833	1	19
1117848354673664000	3	17
1117848660820156417	1	19
1117848794190630912	0	20
1117848865980293120	0	20
1117849247989125120	1	19
1117849386375974912	7	13
1117849641859440644	8	12
1117849795945619458	0	20
1117850092038283267	5	15
1117850203912957953	18	2
1117850414874079233	1	19
1117850493135413249	12	8
1117850757582209026	16	4
1117850999429812224	0	20
1117851032556580865	2	18
1117851174017720320	1	19
1117851181827514369	0	20
1117851231681011713	3	17
1117851367580655617	0	20
1117851594417233921	0	20
1117851641003200512	3	17
1117851728005742594	0	20
1117851794426585088	4	16
1117851917336494080	4	16
1117851927570571265	5	15
1117852036668719105	0	20
1117852049423495168	6	14
1117852177672724480	0	20
1117852214662520832	5	15
1117852395218690050	13	7
1117852673774997504	2	18
1117852804863778821	0	20
1117852830637838336	0	20
1117852985684635648	2	18
